{epoch: 1605184459155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184462529, value: {x : -0.235, y : -0.013, z : 0.771}}
{epoch: 1605184462539, value: {x : -0.156, y : 0.016, z : 0.731}}
{epoch: 1605184462548, value: {x : -0.162, y : 0.049, z : 0.688}}
{epoch: 1605184462558, value: {x : -0.195, y : 0.019, z : 0.667}}
{epoch: 1605184462568, value: {x : -0.198, y : 0.013, z : 0.589}}
{epoch: 1605184462579, value: {x : -0.167, y : -0.002, z : 0.572}}
{epoch: 1605184462587, value: {x : -0.158, y : -0.006, z : 0.545}}
{epoch: 1605184462598, value: {x : -0.144, y : -0.019, z : 0.453}}
{epoch: 1605184462608, value: {x : -0.039, y : -0.036, z : 0.389}}
{epoch: 1605184462618, value: {x : -0.046, y : -0.041, z : 0.327}}
{epoch: 1605184462627, value: {x : -0.112, y : -0.067, z : 0.273}}
{epoch: 1605184462637, value: {x : -0.138, y : -0.099, z : 0.259}}
{epoch: 1605184462648, value: {x : -0.177, y : -0.154, z : 0.286}}
{epoch: 1605184462658, value: {x : -0.185, y : -0.154, z : 0.290}}
{epoch: 1605184462667, value: {x : -0.127, y : -0.192, z : 0.265}}
{epoch: 1605184462677, value: {x : -0.162, y : -0.293, z : 0.245}}
{epoch: 1605184462687, value: {x : -0.216, y : -0.319, z : 0.236}}
{epoch: 1605184462696, value: {x : -0.269, y : -0.316, z : 0.281}}
{epoch: 1605184462706, value: {x : -0.241, y : -0.297, z : 0.262}}
{epoch: 1605184462716, value: {x : -0.212, y : -0.315, z : 0.103}}
{epoch: 1605184462727, value: {x : -0.193, y : -0.251, z : -0.037}}
{epoch: 1605184462735, value: {x : -0.136, y : -0.207, z : -0.147}}
{epoch: 1605184462746, value: {x : -0.202, y : -0.205, z : -0.300}}
{epoch: 1605184462756, value: {x : -0.257, y : -0.214, z : -0.405}}
{epoch: 1605184462766, value: {x : -0.238, y : -0.219, z : -0.427}}
